model_key,brand,warranty_months,coverage_summary_th,coverage_detail_th,exclude_th,warranty_start_rule_th,required_docs_th,claim_steps_th,notes_th
Trident,HITOKI,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Saber,HITOKI,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Angus Enhanced Halogen,YLL,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Yllvape รุ่น IH 2.0,YLL,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Yllvape รุ่น IH 3.0,YLL,12.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Dr. Dabber Switch 2,Dr.Dabber,24.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Dr. Dabber XS™,Dr.Dabber,24.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
Dr. Dabber Ghost 2,Dr.Dabber,24.0,,,,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
The M 2021 / 2022 / Plus / M7 / M7 XL / Twotonium,Dynavap,,,"กลุ่มสินค้า (Category): M Series
ประกันชิ้นส่วนโลหะ (Metal Parts): ตลอดชีพ (Lifetime)
ประกันฝา (The Cap): 90 วัน*
ประกันแก้ว (Glass): -",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
VonG 2021 / VonG (i) / Vong X,Dynavap,,,"กลุ่มสินค้า (Category): VonG Series
ประกันชิ้นส่วนโลหะ (Metal Parts): ตลอดชีพ (Lifetime)
ประกันฝา (The Cap): 90 วัน*
ประกันแก้ว (Glass): -",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
HyperDyn / UniDyn / Omni,Dynavap,,,"กลุ่มสินค้า (Category): High-End (Ti)
ประกันชิ้นส่วนโลหะ (Metal Parts): ตลอดชีพ (Lifetime)
ประกันฝา (The Cap): 90 วัน*
ประกันแก้ว (Glass): -",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
The B / The B2,Dynavap,,,"กลุ่มสินค้า (Category): B Series
ประกันชิ้นส่วนโลหะ (Metal Parts): ตลอดชีพ (Lifetime)
ประกันฝา (The Cap): 90 วัน*
ประกันแก้ว (Glass): -",,เริ่มนับประกันจากวันที่ซื้อสินค้า โดยยึดตามวันที่บนใบเสร็จหรือหลักฐานการชำระเงิน,ใบเสร็จ หรือ สลิปโอนเงิน / รูป S/N (Serial Number) บนตัวเครื่อง,"หลังจากลงทะเบียนสินค้าแล้ว หากมีปัญหาให้กดเมนู “เคลมสินค้า”
กรอกข้อมูลอาการและแนบรูป/วิดีโอ (ถ้ามี)
แอดมินจะติดต่อกลับ และสามารถตรวจสอบสถานะได้ในเมนู “เช็กสถานะ”",
